hotel,ciudad,fecha,texto,rating,sentimiento
Vista Real,Madrid,2023-03-05,El baño estaba sucio al llegar.,4.7,negativo
Luna Park,San Sebastián,2023-10-20,Demasiado ruido durante la noche.,4.0,negativo
Brisa Marina,Bilbao,2023-04-02,Desayuno espectacular y personal muy atento.,8.6,positivo
Bahía Palace,San Sebastián,2023-04-26,Falta de mantenimiento en las instalaciones.,5.4,negativo
Oasis Beach,Granada,2023-01-09,Muy buena ubicación y excelente limpieza.,9.0,positivo
Costa Mar,Salamanca,2023-08-24,Muy buena ubicación y excelente limpieza.,7.6,positivo
Costa Mar,Málaga,2023-12-25,Personal poco atento y recepción caótica.,5.1,negativo
Brisa Marina,Granada,2023-09-23,Falta de mantenimiento en las instalaciones.,4.8,negativo
Mar y Montaña,Sevilla,2023-05-21,Servicio amable. Volvería sin dudarlo.,9.3,positivo
Bahía Palace,San Sebastián,2023-09-13,Demasiado ruido durante la noche.,5.8,negativo
Bahía Palace,Valencia,2023-05-01,El baño estaba sucio al llegar.,4.0,negativo
Oasis Beach,San Sebastián,2023-02-26,Precio elevado para la calidad ofrecida.,4.1,negativo
Puerto Dorado,San Sebastián,2023-01-11,Personal poco atento y recepción caótica.,4.8,negativo
Playa Azul,San Sebastián,2023-12-05,Falta de mantenimiento en las instalaciones.,4.0,negativo
Hotel Sol,San Sebastián,2023-09-25,Relación calidad-precio excelente.,9.5,positivo
Oasis Beach,San Sebastián,2023-03-14,Demasiado ruido durante la noche.,4.5,negativo
Vista Real,Valencia,2023-07-09,Relación calidad-precio excelente.,9.7,positivo
Costa Mar,Málaga,2023-03-04,El baño estaba sucio al llegar.,4.3,negativo
Mar y Montaña,Málaga,2023-12-17,Precio elevado para la calidad ofrecida.,5.4,negativo
Bahía Palace,Zaragoza,2023-02-26,Muy buena ubicación y excelente limpieza.,8.9,positivo
Brisa Marina,Salamanca,2023-03-04,Personal poco atento y recepción caótica.,4.6,negativo
Luna Park,Madrid,2023-02-25,El baño estaba sucio al llegar.,5.3,negativo
Playa Azul,Málaga,2023-04-04,El baño estaba sucio al llegar.,4.1,negativo
Puerto Dorado,Zaragoza,2023-04-14,Desayuno espectacular y personal muy atento.,9.4,positivo
Oasis Beach,Barcelona,2023-02-25,Relación calidad-precio excelente.,8.6,positivo
Hotel Sol,Barcelona,2023-09-09,Relación calidad-precio excelente.,7.0,positivo
Mar y Montaña,Salamanca,2023-06-28,Relación calidad-precio excelente.,9.3,positivo
Vista Real,Valencia,2023-04-24,Muy buena ubicación y excelente limpieza.,7.8,positivo
Puerto Dorado,Barcelona,2023-03-17,Personal poco atento y recepción caótica.,5.2,negativo
Brisa Marina,Málaga,2023-02-06,Falta de mantenimiento en las instalaciones.,5.2,negativo
Playa Azul,Salamanca,2023-04-24,El baño estaba sucio al llegar.,5.4,negativo
Mar y Montaña,Granada,2023-12-28,Relación calidad-precio excelente.,8.8,positivo
Costa Mar,Sevilla,2023-10-19,Precio elevado para la calidad ofrecida.,5.1,negativo
Luna Park,Sevilla,2023-06-01,Demasiado ruido durante la noche.,4.8,negativo
Mar y Montaña,Sevilla,2023-03-13,Servicio amable. Volvería sin dudarlo.,9.2,positivo
Oasis Beach,Sevilla,2023-07-03,Personal poco atento y recepción caótica.,5.9,negativo
Brisa Marina,Madrid,2023-01-05,Personal poco atento y recepción caótica.,4.3,negativo
Mar y Montaña,Valencia,2023-10-26,El baño estaba sucio al llegar.,5.7,negativo
Luna Park,Barcelona,2023-02-18,Demasiado ruido durante la noche.,4.7,negativo
Bahía Palace,Sevilla,2023-09-13,Demasiado ruido durante la noche.,4.1,negativo
Mar y Montaña,Valencia,2023-03-15,Muy buena ubicación y excelente limpieza.,9.3,positivo
Brisa Marina,Sevilla,2023-10-23,Demasiado ruido durante la noche.,5.8,negativo
Bahía Palace,Sevilla,2023-08-21,Demasiado ruido durante la noche.,5.4,negativo
Luna Park,Sevilla,2023-02-03,El baño estaba sucio al llegar.,4.8,negativo
Vista Real,Valencia,2023-07-08,Servicio amable. Volvería sin dudarlo.,9.8,positivo
Brisa Marina,Madrid,2023-04-12,Precio elevado para la calidad ofrecida.,5.8,negativo
Costa Mar,Málaga,2023-03-18,Servicio amable. Volvería sin dudarlo.,7.7,positivo
Hotel Sol,Málaga,2023-12-17,Precio elevado para la calidad ofrecida.,5.5,negativo
Mar y Montaña,Valencia,2023-07-08,Muy buena ubicación y excelente limpieza.,8.0,positivo
Vista Real,Bilbao,2023-08-21,Desayuno espectacular y personal muy atento.,9.7,positivo
Luna Park,Valencia,2023-03-03,Desayuno espectacular y personal muy atento.,8.6,positivo
Brisa Marina,San Sebastián,2023-04-13,El baño estaba sucio al llegar.,5.7,negativo
Puerto Dorado,Zaragoza,2023-04-01,Precio elevado para la calidad ofrecida.,4.3,negativo
Costa Mar,Barcelona,2023-01-23,Demasiado ruido durante la noche.,5.9,negativo
