"id","hotel_id","archivo_id","plataforma","fecha_review","texto_limpio","idioma","cargada_en","sentimiento","confianza"
20202,1,13,booking,2025-10-01,"Todo estuvo bien en general, sin embargo el personal no fue muy atento.",es   ,2026-04-20 19:40:47.798 -0500,neutro,0.977
18586,1,13,booking,2025-10-05,Buenas unstalaciones en generaal. pero la verdad no habia agua caliente en la manana,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
17505,1,13,booking,2025-10-07,Sin embargo demasiado ruido externo y el desayyuno no fue lo esperado. Precio justo por lo que oofrece.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.849
17059,1,13,booking,2026-02-02,Habitacion espaciosa y limpia. Se escuchaba todo del pasillo y el baño tenía problemas.,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
22124,1,13,booking,2025-10-16,Cumple con lo que promete. aunque igual los muebles estabaN algo deteriorados.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.566
21353,1,13,booking,2025-10-29,Aunque el baño tenia problemas. La recepcion fue muy cordial.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.933
19649,1,13,booking,2025-12-12,El parqueadero fue util. pero se escuchaba todo del pasillo y en recepción se demoraron demasiado.,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
22293,1,13,booking,2026-04-07,Todo estuvo bien en general. eso si los muebles estaban algo deteriorados.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.999
19253,1,13,booking,2025-10-31,"Habitacion espaciosa y limpia, eso si el precio era algo elevado para lo que ofrece.",es   ,2026-04-20 19:40:47.798 -0500,neutro,0.941
21796,1,13,booking,2025-12-02,La habitacion estaba limpia. pero la verdad no pudr dormir bien por el rUido.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.995
21650,1,13,booking,2026-01-23,"El personal fue amable, aunque igual poca variedad en el desayuno.",es   ,2026-04-20 19:40:47.798 -0500,neutro,0.975
22277,1,13,booking,2025-11-08,La recepcion fue muy cordial. la verdad poca variedad en el desayuno.,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
19227,1,13,booking,2026-02-18,Buen servicio de habitaciones. igual la cama no era muy comoda.,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
21328,1,13,booking,2026-01-20,Aunque el colchon estaba algo viejo. Buena relacion calidad precio.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.950
20687,1,13,booking,2026-01-28,Aunque igual demasiado ruido externo y el desayuno no fue lo esperado. La habitacion estaba liMpia,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
18094,1,13,booking,2026-03-14,Excelente ubicación cerca a todo. aunque igual hsbia olor raro en la habitacion.,es   ,2026-04-20 19:40:47.798 -0500,neutro,0.998
18727,1,13,booking,2026-01-09,Pero se escuchaba todo del pasillo y el baño tenía problemas. Todo estuvo bien en general.,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
19262,1,13,booking,2025-11-02,"El personal fue amable, pero en recepcion se demorarron demasiado.",es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
18715,1,13,booking,2025-10-11,Excelente ubicacion cerca a todo. Poca variedad en el desayuno.,es   ,2026-04-20 19:40:47.798 -0500,neutro,1.000
18070,1,13,booking,2025-12-16,"Muy bonitas las areas comunes, pero la verdad se escuchaba todo del pasillo y el baño tenía problemas.",es   ,2026-04-20 19:40:47.798 -0500,neutro,0.835
