review,sentimiento,idioma,review_norm,confianza,categoria_idioma,emojis_encontrados,tiene_emoji,num_emojis
"El fin de semana mi pareja y yo hicimos una reserva en este hotel, con el fin de descansar y desconectar, fue sólo una noche y menos mal. [PERSONA] llevaron a un ala bastante apartada del hotel porque nos dijeron que era mejor para descansar ya que la parte de fuera era muy ""jaleosa"". Nos pareció bien porque era justo lo que buscábamos, y cuál fue nuestra sorpresa? Desde las 6 de la mañana con ruidos, primero lo que suponemos que eran unos tacones en la habitación de arriba (de eso no tiene culpa el hotel, obviamente) y después sobre las 7 o poco más, las limpiadoras moviendo muebles y arrastrando sofás o lo que fuera. Habíamos cogido sólo alojamiento para descansar, pensando en no tener que madrugar como habitualmente, pero fue IMPOSIBLE por los ruidos constantes. Por destacar algo...",negativo,es,el fin de semana mi pareja y yo hicimos una reserva en este hotel con el fin de descansar y desconectar fue solo una noche y menos mal nos llevaron a un ala bastante apartada del hotel porque nos dijeron que era mejor para descansar ya que la parte de fuera era muy jaleosa nos parecio bien porque era justo lo que buscabamos y cual fue nuestra sorpresa desde las 6 de la manana con ruidos primero lo que suponemos que eran unos tacones en la habitacion de arriba de eso no tiene culpa el hotel obviamente y despues sobre las 7 o poco mas las limpiadoras moviendo muebles y arrastrando sofas o lo que fuera habiamos cogido solo alojamiento para descansar pensando en no tener que madrugar como habitualmente pero fue imposible por los ruidos constantes por destacar algo,1.0,español_seguro,[],False,0
"El hotel en general está bien, las habtiaciones son espaciosas y el personal es muy amable (sobretodo el encargado del roof-top y la piscina) y la zona de la piscina es curiosa. Pero tiene dos grandes fallos: El primero es que el wifi no llegaba bien a la habitación ya que se cortaba continuamente. El segundo fallo es que no se les ocurre otra cosa que poner un edredón nórdico en vez de una sábana fina en pleno agosto en Sevilla.",neutro,es,el hotel en general esta bien las habtiaciones son espaciosas y el personal es muy amable sobretodo el encargado del rooftop y la piscina y la zona de la piscina es curiosa pero tiene dos grandes fallos el primero es que el wifi no llegaba bien a la habitacion ya que se cortaba continuamente el segundo fallo es que no se les ocurre otra cosa que poner un edredon nordico en vez de una sabana fina en pleno agosto en sevilla,1.0,español_seguro,[],False,0
"El hotel es moderno, amplio y limpio, pero no hemos podido disfrutar de la experiencia porque con tanto ruido no hemos podido descansar. [PERSONA] la piscina estaba llena de gente y no la hemos podido usar. Los empleados muy amables y la ubicación perfecta.",neutro,es,el hotel es moderno amplio y limpio pero no hemos podido disfrutar de la experiencia porque con tanto ruido no hemos podido descansar ademas la piscina estaba llena de gente y no la hemos podido usar los empleados muy amables y la ubicacion perfecta,1.0,español_seguro,[],False,0
[PERSONA] averiada o no operativa. Se comenta en recepción y no me hacen caso. reitero y tampoco ni caso. Pasé frío. No es admisible en ningún hotel pero menos en un hotel de esta supuesta categoría,negativo,es,calefaccion averiada o no operativa se comenta en recepcion y no me hacen caso reitero y tampoco ni caso pase frio no es admisible en ningun hotel pero menos en un hotel de esta supuesta categoria,1.0,español_seguro,[],False,0
Este hotel ha bajado notoriamente su categoria. Sus habitaciones son bastante hostiles y el Room service es pesimo. No ponen amenities en el baño y las toallas son viejas. La ducha no tiene presion. Deberian de preocuparse un poco mas por dar mejor servicio,negativo,es,este hotel ha bajado notoriamente su categoria sus habitaciones son bastante hostiles y el room service es pesimo no ponen amenities en el bano y las toallas son viejas la ducha no tiene presion deberian de preocuparse un poco mas por dar mejor servicio,1.0,español_seguro,[],False,0
"Son pequeños, se bloquean y son insuficientes para el tamaño del hotel. La mayoría de los clientes tenían que usar las escaleras. Yo estuve en una 6 planta,y encima a la llegadano funcionaba la cerradura de la habitación y baje dos veces más a recepción. Un desastre",negativo,es,son pequenos se bloquean y son insuficientes para el tamano del hotel la mayoria de los clientes tenian que usar las escaleras  yo estuve en una 6 plantay encima a la llegadano funcionaba la cerradura de la habitacion y baje dos veces mas a recepcion un desastre,1.0,español_seguro,[],False,0
"Mal mal y mal. Una enorme diferencia de trato con familia a trabajo. Empecemos por la recepción, la reserva no les figuraba, me descargo la app ya que a ellos nos les figura. Una vez la tengo en pantalla y se la muestro, me dicen que ahora sí. No tienen la cama supletoria lista por supuesto. Ruido en la habitación, hay toda una maquinario de un extractor en el.propio baño!!! Moqueta de.los pasillos, vieja, sucia y con olor a tabaco. [PERSONA], aquí viene el surrealismo. Está cerrada al público, si bien por el clima está llena. Sirven un cóctel de empresa pero como cliente no puedo subir una bebida en cristal. Y esto en 1 día y medio. Never again, y seguro nunca me traigo un grupo aquí de trabajo",negativo,es,mal mal y mal una enorme diferencia de trato con familia a trabajo empecemos por la recepcion la reserva no les figuraba me descargo la app ya que a ellos nos les figura una vez la tengo en pantalla y se la muestro me dicen que ahora si no tienen la cama supletoria lista por supuesto ruido en la habitacion hay toda una maquinario de un extractor en elpropio bano moqueta delos pasillos vieja sucia y con olor a tabaco piscina aqui viene el surrealismo esta cerrada al publico si bien por el clima esta llena sirven un coctel de empresa pero como cliente no puedo subir una bebida en cristal y esto en 1 dia y medio never again y seguro nunca me traigo un grupo aqui de trabajo,1.0,español_seguro,[],False,0
"[PERSONA] me he encontrado un nivel de suciedad como el de este hotel. Ni en hostales de una estrella. Cuando llegamos tuvimos que solicitar el cambio de habitación al ver el estado de la misma (echad un vistazo a las fotos). Durante el proceso de cambio las enseñé en recepción y ni nos miraron a la cara. Ni una disculpa. Ni un detalle. Nada durante nuestra estancia. Las medidas de prevención Covid son inexistentes. Ni siquiera informan a los clientes extranjeros de que en España es obligatorio el uso de mascarilla en interiores. Y, obviamente, no lo cumplen. Tampoco en recepción o en los ascensores. Escribiendo sobre los ascensores... están colapsados. Demasiados clientes para tan pocos. Tuvimos que bajar numerosas veces por las escaleras desde un quinto piso (menos mal porque...",negativo,es,jamas me he encontrado un nivel de suciedad como el de este hotel ni en hostales de una estrella cuando llegamos tuvimos que solicitar el cambio de habitacion al ver el estado de la misma echad un vistazo a las fotos durante el proceso de cambio las ensene en recepcion y ni nos miraron a la cara ni una disculpa ni un detalle nada durante nuestra estancia las medidas de prevencion covid son inexistentes ni siquiera informan a los clientes extranjeros de que en espana es obligatorio el uso de mascarilla en interiores y obviamente no lo cumplen tampoco en recepcion o en los ascensores escribiendo sobre los ascensores estan colapsados demasiados clientes para tan pocos tuvimos que bajar numerosas veces por las escaleras desde un quinto piso menos mal porque,1.0,español_seguro,[],False,0
"Lamentable elegir un hotel de cuatro estrellas y que te adjudiquen una habitación sucia, otra ocupada con cliente limpio y la tercera sucia. Queria tranquilidad y no tener problemas durante el alojamiento y fue todo lo contrario, y esa experiencia por muchas disculpas que te pidan se queda ahi y no se resarce de ninguna manera, no tampoco el hotel mucha intención de resarcir la experiencia.",negativo,es,lamentable elegir un hotel de cuatro estrellas y que te adjudiquen una habitacion sucia otra ocupada con cliente limpio y la tercera sucia queria tranquilidad y no tener problemas durante el alojamiento y fue todo lo contrario y esa experiencia por muchas disculpas que te pidan se queda ahi y no se resarce de ninguna manera no tampoco el hotel mucha intencion de resarcir la experiencia,1.0,español_seguro,[],False,0
"El hotel fantástico. Los desayunos muy buenos pero la recepcionista del lunes 18bde octubre en la mañana es una grosera que trata mal a los huéspedes. No se qué le pasa pero si pudiera cambiaria hoy mismo de hotel. [PERSONA] mañana con un tema de la llave me regaña y me hace sentir mal, como si hubiese tenido yo la culpa que mi llave no funcionará. Esa actitud de superioridad que no entiendo. [PERSONA] actitud de servicio.",negativo,es,el hotel fantastico los desayunos muy buenos pero la recepcionista del lunes 18bde octubre en la manana es una grosera que trata mal a los huespedes no se que le pasa pero si pudiera cambiaria hoy mismo de hotel esta manana con un tema de la llave me regana y me hace sentir mal como si hubiese tenido yo la culpa que mi llave no funcionara  esa actitud de superioridad que no entiendo cero actitud de servicio,1.0,español_seguro,[],False,0
