"id","hotel_id","archivo_id","plataforma","fecha_review","texto_limpio","idioma","cargada_en"
15955,1,12,booking,2025-12-03,Pues [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13205,1,12,booking,2025-10-29,Honestamente [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13665,1,12,booking,2025-11-24,Todo estuvo bien en general.Nohabia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12236,1,12,booking,2026-02-28,Buena experiencia en general lo recomiendo. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
14790,1,12,booking,2025-10-04,La recepcion fue muy cordial. sin embargo problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
16933,1,12,booking,2025-12-04,"Excelente ubicación cerca a todo, pero problemas con el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
15197,1,12,booking,2025-10-03,El colchon era comodisimo. la verdad pproblemas con el agua caliente,es   ,2026-04-18 22:38:18.834 -0500
14449,1,12,booking,2025-10-22,Buen servicio de habitaciones. laverdad no habiaagua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
11924,1,12,booking,2026-04-08,Honestamente [PERSONA] con el agua caliente y la comida se demorro bastante.,es   ,2026-04-18 22:38:18.834 -0500
11759,1,12,booking,2026-02-26,Me parrecio un hotel muy completo. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16435,1,12,booking,2026-04-13,Pues [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
12639,1,12,booking,2026-04-11,No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16374,1,12,booking,2026-02-05,Lapiscina estaba muy bien. pero la verdad no habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12370,1,12,booking,2025-12-13,Aunque igual problemas con el agua calliente. Excelente ubicación cerca a todo.,es   ,2026-04-18 22:38:18.834 -0500
14042,1,12,booking,2025-11-19,El wifi funcionaba bien. igualproblemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13136,1,12,booking,2026-04-05,La verdad Habia mucho ruido en la noche y problemas con el agua calliente.,es   ,2026-04-18 22:38:18.834 -0500
11613,1,12,booking,2026-02-21,Todo estuvo bien en geneeral. la verdad no habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
11617,1,12,booking,2025-10-03,Muy bonitas las aeeas comunes. la verdad problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
15017,1,12,booking,2026-02-02,"Las camas eran cómodas, eso si no habia agua caliente en la mañana.",es   ,2026-04-18 22:38:18.834 -0500
13025,1,12,booking,2026-01-03,Sin embargo no habia agua caliente enlamañanaa. Habitacion espaciosa y limpiia.,es   ,2026-04-18 22:38:18.834 -0500
16006,1,12,booking,2026-02-10,Demasiado ruido externo y el desayuno no fue lo esperrado y nohabia agua caliente een la mañana.,es   ,2026-04-18 22:38:18.834 -0500
15920,1,12,booking,2025-12-04,El wifi funcionaba bien. [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
15433,1,12,booking,2025-10-20,El check in fuee rapido. sin embargo no habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
14991,1,12,booking,2025-10-23,La verdad No habia agua caliente en la mañana,es   ,2026-04-18 22:38:18.834 -0500
14123,1,12,booking,2026-02-02,El personal fue muyamable. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12725,1,12,booking,2026-02-24,"Muy bien ubicado cerca al centro, pero la verdad no habia agua caliente enla mañana.",es   ,2026-04-18 22:38:18.834 -0500
13830,1,12,booking,2026-03-02,"El personal fue amable, aunque no habia agua caliente en la mañana.",es   ,2026-04-18 22:38:18.834 -0500
14172,1,12,booking,2026-02-27,El colchon era comodisimo. Problemascon el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
16138,1,12,booking,2026-01-31,El wifi funcionaba bien. No habia agua caliente en la mañana,es   ,2026-04-18 22:38:18.834 -0500
13623,1,12,booking,2025-11-19,Demasiado ruido externo y problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
17022,1,12,booking,2026-04-05,"Buena experiencia en generaallo recomiendo, aunque igual problemas con el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
14089,1,12,booking,2025-12-15,Ambiente teanquilo y agradable. pero problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
16739,1,12,booking,2025-10-10,"La habitacion estaba limpia, igual problemas con el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
16118,1,12,booking,2026-02-07,Cumple con lo que promete. aunque no habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16716,1,12,booking,2025-12-01,"El personal super amable y atento, aunque problemAs con el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
12147,1,12,booking,2026-01-30,No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16533,1,12,booking,2025-12-07,Honestamente [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13403,1,12,booking,2025-11-24,"Muy bien ubicado cerca al centro, igual problemas con elagua caliEnte.",es   ,2026-04-18 22:38:18.834 -0500
13141,1,12,booking,2025-10-05,Buenas unstalaciones en generaal. pero la verdad no habia agua caliente en la manana,es   ,2026-04-18 22:38:18.834 -0500
14748,1,12,booking,2026-02-01,Honestamente No habia agua caliente en la manana.,pt   ,2026-04-18 22:38:18.834 -0500
13020,1,12,booking,2025-11-03,Aunque igual problemas con elagua caliente. Habitacion espaciosa y limpia.,es   ,2026-04-18 22:38:18.834 -0500
16887,1,12,booking,2025-10-08,La verdad Problemass con el agua caliente y el parqueadero era muy pequeno,es   ,2026-04-18 22:38:18.834 -0500
13544,1,12,booking,2026-01-13,La verdad No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
15820,1,12,booking,2026-01-01,Eso sí problemas con el agua caliente. El personal fue amable.,es   ,2026-04-18 22:38:18.834 -0500
14017,1,12,booking,2026-02-07,Pues No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12657,1,12,booking,2026-02-01,"La habitacion estaba limpia, eso si problemas con el agua caliente y habia humedad en el cuarto.",es   ,2026-04-18 22:38:18.834 -0500
12043,1,12,booking,2026-01-26,"El parqueadero fue util, la verdad no habia agua caliente en la mañana.",es   ,2026-04-18 22:38:18.834 -0500
15822,1,12,booking,2025-11-24,Problemas con elagua caliente.,es   ,2026-04-18 22:38:18.834 -0500
15550,1,12,booking,2025-10-23,La atencion fue excelente. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12422,1,12,booking,2025-12-08,La verdad [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
15599,1,12,booking,2026-01-08,La verdad [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
15147,1,12,booking,2026-04-18,Me gusto el servicio. aunque problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13741,1,12,booking,2026-01-09,[PERSONA] el servicio. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
14415,1,12,booking,2025-12-31,"Las toallas y ropa de cama limpias, sin embargo no habia agua caliEnte enla mañana.",es   ,2026-04-18 22:38:18.834 -0500
12515,1,12,booking,2026-03-03,Las camas eran comodas. aunque igual no habia agua calirnte en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
11719,1,12,booking,2025-10-10,Eso si problemas con el agua caliente. El personal super amable y atento.,es   ,2026-04-18 22:38:18.834 -0500
16741,1,12,booking,2025-11-19,Aunque igual problemas con el agua caliente. El personal fue muy amable.,es   ,2026-04-18 22:38:18.834 -0500
16821,1,12,booking,2025-12-27,La verdad No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16699,1,12,booking,2025-11-17,El wifi funcionaba bien. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16491,1,12,booking,2025-12-01,"Buena relacion calidad precio, aunque problemas con el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
14655,1,12,booking,2026-03-20,Eso sí problemas con el agua caliente. Ambiente tranquilo y agradable.,es   ,2026-04-18 22:38:18.834 -0500
11646,1,12,booking,2025-12-06,Demasiado ruido externo y no habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
14346,1,12,booking,2026-03-15,"La ubicacion es muy buena, aunque igual problemas com el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
13134,1,12,booking,2025-10-01,Pues La tv no funcionaba bien y no habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
11756,1,12,booking,2025-10-13,"La hhabitacionestaba limpia, pero problrmas con el agua caaliente.",es   ,2026-04-18 22:38:18.834 -0500
15279,1,12,booking,2025-10-12,Honestamente La limpieza podria mejorar y problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
14977,1,12,booking,2026-03-06,Pues [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13491,1,12,booking,2026-04-01,El wifi funcionaba bien. No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12722,1,12,booking,2025-12-25,El wifi funcionaba bien. sin embargo nohabia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
16357,1,12,booking,2025-11-12,El wifi funcionaba bien. Problemass con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
15912,1,12,booking,2025-10-03,La verdad [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13699,1,12,booking,2026-03-05,[PERSONA] con el agua caliEnte.,pt   ,2026-04-18 22:38:18.834 -0500
12844,1,12,booking,2026-03-28,Sin embargo problemas con el agua caliiente. Todo estuvo bien en general.,es   ,2026-04-18 22:38:18.834 -0500
12047,1,12,booking,2026-03-08,Excelente ubicacion cerca a todo. sin embargo problemas con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
16882,1,12,booking,2025-11-06,Pues [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
14052,1,12,booking,2026-02-26,Me parecio un hotel muy completo. [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
13859,1,12,booking,2025-11-01,"Las camas eran cómodas, pero no habia agua caliente en la mañana.",es   ,2026-04-18 22:38:18.834 -0500
13927,1,12,booking,2026-04-11,Honestamente [PERSONA] con el agua caliente y la comida se demoro bastante.,es   ,2026-04-18 22:38:18.834 -0500
12168,1,12,booking,2025-10-25,El restaurante del hotel estuvo rico. aunque no habia agua caliente en la mañana,es   ,2026-04-18 22:38:18.834 -0500
16962,1,12,booking,2026-02-12,Problemascon el agua caluente.,es   ,2026-04-18 22:38:18.834 -0500
16173,1,12,booking,2025-11-21,"El parqueadero fue util, la verdad problemas con el agua caliente.",es   ,2026-04-18 22:38:18.834 -0500
16169,1,12,booking,2025-11-02,[PERSONA] con el agua caliente.,pt   ,2026-04-18 22:38:18.834 -0500
12864,1,12,booking,2025-12-24,Perp la verdad problemas con el agua caliente. Las toallas y roopa de cama limpias.,es   ,2026-04-18 22:38:18.834 -0500
16172,1,12,booking,2025-11-06,Pero la verdad problemas con el agua caliente. Limpieza impecable.,es   ,2026-04-18 22:38:18.834 -0500
14665,1,12,booking,2026-03-31,No habia agua caliente en la mañana.,es   ,2026-04-18 22:38:18.834 -0500
12761,1,12,booking,2025-10-02,Eso sí no habia agua caliente en la mañana. Las camas eran comodas.,es   ,2026-04-18 22:38:18.834 -0500
16034,1,12,booking,2025-12-29,La verdad [PERSONA] con el agua caliente.,es   ,2026-04-18 22:38:18.834 -0500
