review_id,tipo,topico,sentimiento,score,fragmento,tokens_in,tokens_out
15955,fijo,instalaciones,positivo,0.82,Pues [PERSONA] con el agua caliente.,470,56
13205,fijo,instalaciones,positivo,0.85,Honestamente [PERSONA] con el agua caliente.,472,58
13665,fijo,instalaciones,negativo,0.92,No habia agua caliente en la mañana.,475,55
12236,fijo,servicio,positivo,0.82,Buena experiencia en general lo recomiendo.,476,93
12236,fijo,instalaciones,negativo,0.9,No habia agua caliente en la mañana.,476,93
14790,fijo,servicio,positivo,0.95,La recepcion fue muy cordial.,475,92
14790,fijo,instalaciones,negativo,0.9,sin embargo problemas con el agua caliente.,475,92
16933,fijo,ubicacion,positivo,0.93,Excelente ubicación cerca a todo,473,89
16933,fijo,instalaciones,negativo,0.88,pero problemas con el agua caliente,473,89
15197,fijo,habitacion,positivo,0.92,El colchon era comodisimo.,478,92
15197,fijo,instalaciones,negativo,0.85,pproblemas con el agua caliente,478,92
14449,fijo,servicio,positivo,0.9,Buen servicio de habitaciones.,476,88
14449,fijo,instalaciones,negativo,0.95,no habia agua caliente en la mañana.,476,88
11924,fijo,desayuno-comida,negativo,0.86,con el agua caliente y la comida se demorro bastante.,479,60
11759,fijo,instalaciones,positivo,0.86,Me parrecio un hotel muy completo.,477,99
11759,fijo,instalaciones,negativo,0.93,No habia agua caliente en la mañana.,477,99
16435,fijo,instalaciones,positivo,0.82,Pues [PERSONA] con el agua caliente.,470,56
12639,fijo,instalaciones,negativo,0.92,No habia agua caliente en la mañana.,468,55
16374,fijo,instalaciones,positivo,0.92,Lapiscina estaba muy bien.,478,100
16374,fijo,instalaciones,negativo,0.88,pero la verdad no habia agua caliente en la mañana.,478,100
12370,fijo,ubicacion,positivo,0.93,Excelente ubicación cerca a todo.,475,91
12370,fijo,instalaciones,negativo,0.86,Aunque igual problemas con el agua calliente.,475,91
14042,fijo,instalaciones,neutro,0.86,El wifi funcionaba bien. igualproblemas con el agua caliente.,474,106
14042,fijo,instalaciones,negativo,0.82,igualproblemas con el agua caliente.,474,106
13136,fijo,instalaciones,negativo,0.92,Habia mucho ruido en la noche,477,96
13136,fijo,instalaciones,negativo,0.9,y problemas con el agua calliente.,477,96
11613,fijo,instalaciones,negativo,0.92,no habia agua caliente en la mañana,477,55
11617,fijo,instalaciones,positivo,0.86,Muy bonitas las aeeas comunes.,476,98
11617,fijo,instalaciones,negativo,0.9,la verdad problemas con el agua caliente.,476,98
15017,fijo,habitacion,positivo,0.92,Las camas eran cómodas,476,90
15017,fijo,instalaciones,negativo,0.86,no habia agua caliente en la mañana,476,90
13025,fijo,limpieza,positivo,0.85,Habitacion espaciosa y limpiia.,479,131
13025,fijo,habitacion,positivo,0.8,Habitacion espaciosa y limpiia.,479,131
13025,dinamico,Agua caliente / disponibilidad,negativo,0.9,Sin embargo no habia agua caliente en la mañana,479,131
16006,fijo,instalaciones,negativo,0.86,Demasiado ruido externo,483,143
16006,fijo,desayuno-comida,negativo,0.9,el desayuno no fue lo esperrado,483,143
16006,fijo,instalaciones,negativo,0.88,nohabia agua caliente een la mañana.,483,143
15920,fijo,instalaciones,positivo,0.86,El wifi funcionaba bien.,475,96
15920,fijo,instalaciones,positivo,0.82,[PERSONA] con el agua caliente.,475,96
15433,fijo,servicio,positivo,0.86,El check in fuee rapido.,477,94
15433,fijo,instalaciones,negativo,0.9,sin embargo no habia agua caliente en la mañana.,477,94
14991,fijo,instalaciones,negativo,0.92,No habia agua caliente en la mañana,470,55
14123,fijo,servicio,positivo,0.95,El personal fue muyamable.,475,92
14123,fijo,instalaciones,negativo,0.9,No habia agua caliente en la mañana.,475,92
12725,fijo,ubicacion,positivo,0.92,Muy bien ubicado cerca al centro,478,91
12725,fijo,instalaciones,negativo,0.9,no habia agua caliente enla mañana,478,91
13830,fijo,servicio,positivo,0.92,El personal fue amable,474,91
13830,fijo,instalaciones,negativo,0.86,aunque no habia agua caliente en la mañana,474,91
14172,fijo,habitacion,positivo,0.92,El colchon era comodisimo.,475,91
14172,fijo,instalaciones,negativo,0.86,Problemascon el agua caliente.,475,91
16138,fijo,instalaciones,positivo,0.86,El wifi funcionaba bien.,474,96
16138,fijo,instalaciones,negativo,0.9,No habia agua caliente en la mañana,474,96
13623,fijo,instalaciones,negativo,0.92,Demasiado ruido externo y problemas con el agua caliente.,472,59
17022,fijo,servicio,positivo,0.86,Buena experiencia en generaallo recomiendo,476,93
17022,fijo,instalaciones,negativo,0.84,aunque igual problemas con el agua caliente,476,93
14089,fijo,instalaciones,negativo,0.9,pero problemas con el agua caliente.,475,97
14089,fijo,instalaciones,positivo,0.82,Ambiente teanquilo y agradable.,475,97
16739,fijo,limpieza,positivo,0.95,La habitacion estaba limpia,473,125
16739,fijo,instalaciones,negativo,0.86,igual problemas con el agua caliente,473,125
16739,fijo,habitacion,positivo,0.78,La habitacion estaba limpia,473,125
16118,fijo,instalaciones,negativo,0.86,aunque no habia agua caliente en la mañana,476,98
16118,fijo,precio-valor,positivo,0.81,Cumple con lo que promete.,476,98
16716,fijo,servicio,positivo,0.98,El personal super amable y atento,475,92
16716,fijo,instalaciones,negativo,0.85,aunque problemAs con el agua caliente,475,92
12147,fijo,instalaciones,negativo,0.92,No habia agua caliente en la mañana.,468,55
16533,fijo,instalaciones,positivo,0.85,Honestamente [PERSONA] con el agua caliente.,472,58
13403,fijo,ubicacion,positivo,0.93,Muy bien ubicado cerca al centro,477,93
13403,fijo,instalaciones,negativo,0.86,igual problemas con elagua caliEnte,477,93
13141,fijo,instalaciones,positivo,0.86,Buenas unstalaciones en generaal.,479,101
13141,fijo,instalaciones,negativo,0.93,pero la verdad no habia agua caliente en la manana,479,101
14748,fijo,instalaciones,negativo,0.92,No habia agua caliente en la manana.,471,55
13020,fijo,limpieza,positivo,0.92,Habitacion espaciosa y limpia.,475,123
13020,fijo,habitacion,positivo,0.88,Habitacion espaciosa y limpia.,475,123
13020,fijo,servicio,negativo,0.81,Aunque igual problemas con elagua caliente.,475,123
16887,fijo,instalaciones,negativo,0.92,Problemass con el agua caliente y el parqueadero era muy pequeno,476,61
13544,fijo,instalaciones,negativo,0.92,No habia agua caliente en la mañana.,470,55
15820,fijo,servicio,positivo,0.92,El personal fue amable.,473,90
15820,fijo,instalaciones,negativo,0.86,Eso sí problemas con el agua caliente.,473,90
14017,fijo,instalaciones,negativo,0.92,No habia agua caliente en la mañana.,469,55
12657,fijo,limpieza,positivo,0.92,La habitacion estaba limpia,480,127
12657,fijo,habitacion,negativo,0.86,habia humedad en el cuarto,480,127
