idx_original,sentimiento,topicos_json,topicos_resumen,n_topicos,prompt_eval_count,eval_count,total_tokens
50,neutro,"[{""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""Desayuno para un 4 estrellas debería haber más calidad y estándar."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""Ni siquiera nos han preguntado en el Check out como fue nuestra estancia."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""En el check in le cobran directamente pero por la mañana ni saludaron."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Reformas necesita el hotel, zonas muy degradadas"", ""sentimiento_topico"": ""negativo""}]",Desayuno / Gastronomía | Atención al cliente | Atención al cliente | Instalaciones y servicios,4,585,180,765
51,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""Tiene olor a rancio"", ""sentimiento_topico"": ""negativo""}]",Limpieza,1,533,39,572
52,neutro,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""la moqueta está regular la decoración obsoleta, baños antiguos, alicatado lleno de agujeros tapados con masilla"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""el personal es estupendo, muy amable y agradable"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""el desayuno es bueno"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""tienen precios adecuados y moderados. Relación.calidad precio buena"", ""sentimiento_topico"": ""positivo""}]",Instalaciones y servicios | Atención al cliente | Desayuno / Gastronomía | Relación calidad-precio,4,631,189,820
53,negativo,"[{""topico"": ""Comodidad"", ""fragmento"": ""las camas son viejas y mejor no te muevas porque suena un montón."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""no hay enchufe cerca de la cama y no se porque pero hay toma de teléfono en el cuarto de baño."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""El desayuno es bastante simple ya que no hay mucho donde elegir."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""La piscina tiene horario y va por turnos de 1h y 30 min que nos lo dijeron al llegar. Haces pie en todo la piscina (1,50 m) y el agua no está muy limpia (está un poco verde)."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""Los trabajadores del hotel todos muy amables y atentos."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Ubicación"", ""fragmento"": ""El hotel está en muy buena zona, cerca del centro de Sevilla y tiene unas vistas muy bonitas en la azotea."", ""sentimiento_topico"": ""positivo""}]",Comodidad | Instalaciones y servicios | Desayuno / Gastronomía | Instalaciones y servicios | Atención al cliente | Ubicación,6,675,320,995
54,negativo,"[{""topico"": ""Limpieza"", ""fragmento"": ""la mininevera de la habitación no estaba funcionando y tenía muy mala pinta."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""funcionamiento de las cisternas del baño,escuche a más personas quejándose.tuvimos qué echar agua al Water con la papelera."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""El desayuno fenomenal y buen servicio."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Comodidad"", ""fragmento"": ""a mi lo que me horroriza fue que se escucha todo de la habitación de al lado."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""las ventanas tipo balcón a la calle me encantaron."", ""sentimiento_topico"": ""positivo""}]",Limpieza | Instalaciones y servicios | Atención al cliente | Comodidad | Instalaciones y servicios,5,644,236,880
55,neutro,"[{""topico"": ""Comodidad"", ""fragmento"": ""la habitación familiar para dos adultos y dos niños es suficientemente amplia."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""tan solo un día antes de la llegada al hotel se nos advirtió por email que la entrada en la piscina estaba limitada a un número concreto de personas."", ""sentimiento_topico"": ""negativo""}]",Comodidad | Instalaciones y servicios,2,683,110,793
56,negativo,"[{""topico"": ""Atención al cliente"", ""fragmento"": ""El personal amable"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Limpieza"", ""fragmento"": ""limpieza buena"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Aparcamiento horroroso en el hotel"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Relación calidad-precio"", ""fragmento"": ""El hotel se cae literalmente a pedazos, necesita una reforma pero de haberse hecho hace 10 años"", ""sentimiento_topico"": ""negativo""}]",Atención al cliente | Limpieza | Instalaciones y servicios | Relación calidad-precio,4,583,154,737
57,negativo,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Nada más llegar subimos a la piscina, nadie controlaba el aforo y las tumbonas estaban muy juntas. El agua turbia..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""La moqueta tenía manchas y olor. Fuimos a darnos una ducha y la silicona tenía humedad, manchas negras por toda la bañera, las juntas de los azulejos negras..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""Intentamos descansar y no hay insonorización, las habitaciones de la planta que no son suites, son normales no disponen de ella..."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Una araña de buen tamaño campaba por el techo hasta que la pudimos matar."", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""El desayuno buffet bien, si..."", ""sentimiento_topico"": ""positivo""}]",Instalaciones y servicios | Comodidad | Comodidad | Instalaciones y servicios | Desayuno / Gastronomía,5,698,281,979
58,negativo,"[{""topico"": ""Instalaciones y servicios"", ""fragmento"": ""La habitacion familiar genial y la limpieza tambien."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Cogimos ese hotel por la piscina ya que en agosto sevilla hace badtante calor."", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""Me parece pesimo que x tema covid tengan aforo d 1h en la piscina x cuestion de meter mas clientes en el hotel"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Desayuno / Gastronomía"", ""fragmento"": ""A la hora del desayuno el salon n cabe mas gente pero claro se esta pagando desayuno y se deja dinero en..."", ""sentimiento_topico"": ""neutro""}]",Instalaciones y servicios | Instalaciones y servicios | Instalaciones y servicios | Desayuno / Gastronomía,4,703,208,911
59,neutro,"[{""topico"": ""Limpieza"", ""fragmento"": ""seguido sin limpiar y con sabanas quitadas"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Atención al cliente"", ""fragmento"": ""la cual morena pelo rizado y corto no sabemos su nombre nos pidió disculpas"", ""sentimiento_topico"": ""positivo""}, {""topico"": ""Instalaciones y servicios"", ""fragmento"": ""piscina sin socorrista los niños saltando molestando por qué nadie vigilaba"", ""sentimiento_topico"": ""negativo""}, {""topico"": ""Comodidad"", ""fragmento"": ""salimos de la habitación a las 9y30 y cuando volvimos a las 14y30"", ""sentimiento_topico"": ""neutro""}]",Limpieza | Atención al cliente | Instalaciones y servicios | Comodidad,4,626,188,814
