,title,rating,review_text,location,hotel,label
0,IMPOSIBLE DESCANSAR,2,"El fin de semana mi pareja y yo hicimos una reserva en este hotel, con el fin de descansar y desconectar, fue sólo una noche y menos mal.  Nos llevaron a un ala bastante apartada del hotel porque nos dijeron que era mejor para descansar ya que la parte de fuera era muy “jaleosa”. Nos pareció bien porque era justo lo que buscábamos, y cuál fue nuestra sorpresa? Desde las 6 de la mañana con ruidos, primero lo que suponemos que eran unos tacones en la habitación de arriba (de eso no tiene culpa el hotel, obviamente) y después sobre las 7 o poco más, las limpiadoras moviendo muebles y arrastrando sofás o lo que fuera. Habíamos cogido sólo alojamiento para descansar, pensando en no tener que madrugar como habitualmente, pero fue IMPOSIBLE por los ruidos constantes.  Por destacar algo…",Seville_Province_of_Seville_Andalucia,Hotel_Rey_Alfonso_X,0
1,No es oro todo lo que reluce,3,"El hotel en general está bien, las habtiaciones son espaciosas y el personal es muy amable (sobretodo el encargado del roof-top y la piscina) y la zona de la piscina es curiosa. Pero tiene dos grandes fallos: El primero es que el wifi no llegaba bien a la habitación ya que se cortaba continuamente. El segundo fallo es que no se les ocurre otra cosa que poner un edredón nórdico en vez de una sábana fina en pleno agosto en Sevilla.",Seville_Province_of_Seville_Andalucia,Hotel_Rey_Alfonso_X,3
2,Un buen hotel con mucho ruido.,3,"El hotel es moderno, amplio y limpio, pero no hemos podido disfrutar de la experiencia porque con tanto ruido no hemos podido descansar. Además la piscina estaba llena de gente y no la hemos podido usar. Los empleados muy amables y la ubicación perfecta.",Seville_Province_of_Seville_Andalucia,Hotel_Rey_Alfonso_X,3
3,SIN CALEFACCIÓN OPERATIVA Y CON FRÍO,2,Calefacción averiada o no operativa. Se comenta en recepción y no me hacen caso. reitero y tampoco ni caso. Pasé frío. No es admisible en ningún hotel pero menos en un hotel de esta supuesta categoría,Seville_Province_of_Seville_Andalucia,Melia_Sevilla,0
4,Deja bastante que desear.,2,Este hotel ha bajado notoriamente su categoria. Sus habitaciones son bastante hostiles y el Room service es pesimo. No ponen amenities en el baño y las toallas son viejas. La ducha no tiene presion. Deberian de preocuparse un poco mas por dar mejor servicio,Seville_Province_of_Seville_Andalucia,Melia_Sevilla,0
5,Desastre de ascensores,2,"Son pequeños, se bloquean y son insuficientes para el tamaño del hotel. La mayoría de los clientes tenían que usar las escaleras . Yo estuve en una 6 planta,y encima a la llegadano funcionaba la cerradura de la habitación y baje dos veces más a recepción. Un desastre ",Seville_Province_of_Seville_Andalucia,Melia_Sevilla,0
6,Mal mal y mal,2,"Mal mal y mal. Una enorme diferencia de trato con familia a trabajo. Empecemos por la recepción, la reserva no les figuraba, me descargo la app ya que a ellos nos les figura. Una vez la tengo en pantalla y se la muestro, me dicen que ahora sí. No tienen la cama supletoria lista por supuesto. Ruido en la habitación, hay toda una maquinario de un extractor en el.propio baño!!! Moqueta de.los pasillos, vieja, sucia y con olor a tabaco. Piscina, aquí viene el surrealismo. Está cerrada al público, si bien por el clima está llena. Sirven un cóctel de empresa pero como cliente no puedo subir una bebida en cristal. Y esto en 1 día y medio. Never again, y seguro nunca me traigo un grupo aquí de trabajo",Seville_Province_of_Seville_Andalucia,Melia_Sevilla,0
7,Suciedad intolerable,1,"Jamás me he encontrado un nivel de suciedad como el de este hotel. Ni en hostales de una estrella.  Cuando llegamos tuvimos que solicitar el cambio de habitación al ver el estado de la misma (echad un vistazo a las fotos). Durante el proceso de cambio las enseñé en recepción y ni nos miraron a la cara. Ni una disculpa. Ni un detalle. Nada durante nuestra estancia.  Las medidas de prevención Covid son inexistentes. Ni siquiera informan a los clientes extranjeros de que en España es obligatorio el uso de mascarilla en interiores. Y, obviamente, no lo cumplen. Tampoco en recepción o en los ascensores.  Escribiendo sobre los ascensores... están colapsados. Demasiados clientes para tan pocos. Tuvimos que bajar numerosas veces por las escaleras desde un quinto piso (menos mal porque…",Seville_Province_of_Seville_Andalucia,Melia_Sevilla,0
8,Lamentable,1,"Lamentable elegir un hotel de cuatro estrellas y que te adjudiquen una habitación sucia, otra ocupada con cliente limpio y la tercera sucia. Queria tranquilidad y no tener problemas durante el alojamiento y fue todo lo contrario, y esa experiencia por muchas disculpas que te pidan se queda ahi y no se resarce de ninguna manera, no tampoco el hotel mucha intención de resarcir la experiencia. ",Seville_Province_of_Seville_Andalucia,Melia_Sevilla,0
9,Sigo aquí pero quiero cambiarme de hotel,2,"El hotel fantástico. Los desayunos  muy buenos pero la recepcionista del lunes 18bde octubre en la mañana  es una grosera que trata mal a los huéspedes. No se qué le pasa pero si pudiera cambiaria hoy mismo de hotel. Está mañana con un tema de la llave me regaña y me hace sentir  mal, como si hubiese tenido yo la culpa que mi llave no funcionará  . Esa actitud de superioridad que no entiendo. Cero actitud de servicio. ",Seville_Province_of_Seville_Andalucia,Hotel_Sevilla_Center,0
